# coverage-map.na.tsv
#
# Curated TAB-separated list of upstream tests that the C# SDK deliberately
# does NOT port. The companion script `coverage-map.sh` reads this file when
# building `coverage-map.tsv` and accepts each row as an explicit N/A
# mapping. The `--check` gate rejects an empty reason column.
#
# Format:
#   <upstream_relpath>:<line><TAB><reason>
#
# Reason conventions:
#   not-ported: <symbol>       — C# does not expose this upstream API.
#   runtime-variant: <name>    — upstream tests multiple runtimes (nodecrypto /
#                                WebCrypto / purejs / universal); C# ports
#                                only the deterministic purejs path.
#   e2e-only: live-backend     — upstream only exercises this under a live
#                                Turnkey backend; C# defers to Tier-4 opt-in.
#   proof-fixture-only         — covered indirectly by ProofFixtureProvenanceTests.

# ---- proof verifier (proof-tests.ts) — all N/A, proof scope-out ----
tests/UpstreamSources/turnkey-crypto-2.8.8/ts-source/__tests__/proof-tests.ts:63	proof-fixture-only — proof verifier is outside the supported API; fixture structure and provenance are checked by ProofFixtureProvenanceTests
tests/UpstreamSources/turnkey-crypto-2.8.8/ts-source/__tests__/proof-tests.ts:68	proof-fixture-only — paired app/boot proof data is retained for provenance, not cryptographic verification
tests/UpstreamSources/turnkey-crypto-2.8.8/ts-source/__tests__/proof-tests.ts:77	proof-fixture-only — malformed app-proof verification requires the unported proof verifier
tests/UpstreamSources/turnkey-crypto-2.8.8/ts-source/__tests__/proof-tests.ts:101	proof-fixture-only — malformed boot-proof verification requires the unported proof verifier

# ---- async polling (async-test.ts) — all N/A, withAsyncPolling unported ----
tests/UpstreamSources/turnkey-http-3.16.0/ts-source/__tests__/async-test.ts:43	not-ported: withAsyncPolling — polling and activity lifecycle orchestration are outside the request-signing API
tests/UpstreamSources/turnkey-http-3.16.0/ts-source/__tests__/async-test.ts:82	not-ported: withAsyncPolling — consensus-required polling errors belong to the unported full HTTP client
tests/UpstreamSources/turnkey-http-3.16.0/ts-source/__tests__/async-test.ts:133	not-ported: withAsyncPolling — rejected-activity polling errors belong to the unported full HTTP client
tests/UpstreamSources/turnkey-http-3.16.0/ts-source/__tests__/async-test.ts:191	not-ported: withAsyncPolling — failed-activity polling errors belong to the unported full HTTP client
